place,datetime,CO2,Temperature_moyenne
Republic of Cyprus,2000-01-01,7108860.0,10.265
Republic of Cyprus,2001-01-01,6982240.0,12.71
Republic of Cyprus,2002-01-01,7170780.0,10.444
Republic of Cyprus,2003-01-01,7560240.0,13.802
Republic of Cyprus,2004-01-01,7787750.0,11.495999999999999
Republic of Cyprus,2005-01-01,7972170.0,12.432
Republic of Cyprus,2006-01-01,8160840.0,11.529000000000002
Republic of Cyprus,2007-01-01,8472610.0,11.562000000000001
Republic of Cyprus,2008-01-01,8634190.0,10.161
Republic of Cyprus,2009-01-01,8382600.0,12.800999999999998
Republic of Cyprus,2010-01-01,8017880.0,13.584000000000001
Republic of Cyprus,2011-01-01,7700200.0,12.824000000000002
Republic of Cyprus,2012-01-01,7169930.0,11.202
Republic of Cyprus,2013-01-01,6494860.0,12.367
Republic of Cyprus,2014-01-01,6878540.0,0.0
Republic of Cyprus,2015-01-01,6902870.0,0.0
Republic of Cyprus,2016-01-01,7307800.0,0.0
Republic of Cyprus,2017-01-01,7514690.0,0.0
Republic of Cyprus,2000-02-01,0.0,11.332
Republic of Cyprus,2000-03-01,0.0,12.707
Republic of Cyprus,2000-04-01,0.0,17.677
Republic of Cyprus,2000-05-01,0.0,21.041999999999998
Republic of Cyprus,2000-06-01,0.0,25.79
Republic of Cyprus,2000-07-01,0.0,28.388
Republic of Cyprus,2000-08-01,0.0,27.741999999999997
Republic of Cyprus,2000-09-01,0.0,25.546999999999997
Republic of Cyprus,2000-10-01,0.0,21.165
Republic of Cyprus,2000-11-01,0.0,17.934
Republic of Cyprus,2000-12-01,0.0,13.715
Republic of Cyprus,2001-02-01,0.0,12.734000000000002
Republic of Cyprus,2001-03-01,0.0,16.715
Republic of Cyprus,2001-04-01,0.0,18.223
Republic of Cyprus,2001-05-01,0.0,21.635
Republic of Cyprus,2001-06-01,0.0,25.065
Republic of Cyprus,2001-07-01,0.0,27.482
Republic of Cyprus,2001-08-01,0.0,28.064
